,images,Text,confidenceOCR
162,images/Cropped Image632.jpg,HELLAS AVATAR,0.9984742612317227
163,images/Cropped Image633.jpg,HELLAS AVATAR,0.983051791275804
164,images/Cropped Image634.jpg,No sMoking,0.35585678501495743
165,images/Cropped Image634.jpg,HELLAS AVATAR,0.9959181018640034
166,images/Cropped Image635.jpg,No sMoking,0.507729941967905
167,images/Cropped Image636.jpg,HELLAS AVATAR,0.9915096055254637
168,images/Cropped Image637.jpg,VALENTINE,0.861775545054695
169,images/Cropped Image637.jpg,W,0.19929854541409497
170,images/Cropped Image638.jpg,VALENTINE,0.9996532298490045
171,images/Cropped Image641.jpg,NO,0.8428279187062592
172,images/Cropped Image641.jpg,SmokiNG',0.6164201208610853
173,images/Cropped Image641.jpg,Ino 9413913,0.30237313910171065
174,images/Cropped Image641.jpg,Maccoa,0.8751658404197892
175,images/Cropped Image642.jpg,Maccoa,0.5028769358583649
176,images/Cropped Image644.jpg,4O,0.41909115540079434
177,images/Cropped Image644.jpg,SmokiNG',0.636416492538334
178,images/Cropped Image644.jpg,Id 9413913,0.5137932055918277
179,images/Cropped Image645.jpg,Maccoa,0.8738420721070225
180,images/Cropped Image646.jpg,DESERT OASIS,0.6255293880298747
181,images/Cropped Image649.jpg,Vcteedes,0.23001334544851465
182,images/Cropped Image651.jpg,44cedey,0.12868962483270457
183,images/Cropped Image652.jpg,Msc,0.8047885313155854
184,images/Cropped Image652.jpg,GENEVA,0.9974952806604677
185,images/Cropped Image652.jpg,M $ c,0.2377670347079865
186,images/Cropped Image653.jpg,Msc,0.8604768187627697
187,images/Cropped Image653.jpg,GENEVA,0.9975602872438227
188,images/Cropped Image653.jpg,M $ C,0.29389722973721516
189,images/Cropped Image656.jpg,Eaha,0.229812353849411
190,images/Cropped Image656.jpg,KESS,0.9980739951133728
191,images/Cropped Image657.jpg,BKokin,0.13185661552652858
192,images/Cropped Image657.jpg,SAFFTY,0.4243003129247339
193,images/Cropped Image657.jpg,FENG LIHAI,0.707375063618996
194,images/Cropped Image657.jpg,"Co5co , SHIPPING",0.3893411114846538
195,images/Cropped Image658.jpg,SAFETT,0.36311406083896725
196,images/Cropped Image658.jpg,Fiag,0.2725360095500946
197,images/Cropped Image658.jpg,"cosco , SHIPPING",0.8181459981661828
198,images/Cropped Image660.jpg,TUHDRALAID,0.601523150699261
199,images/Cropped Image661.jpg,TUNDRALAD,0.7476386895471766
200,images/Cropped Image665.jpg,54FETY,0.2355730657911443
201,images/Cropped Image665.jpg,FipsT,0.15828147728317926
202,images/Cropped Image665.jpg,no svokinG,0.21449445401065106
203,images/Cropped Image665.jpg,POLA ONEGA,0.6827535659307667
204,images/Cropped Image666.jpg,SAfETY First,0.12503070797331475
205,images/Cropped Image666.jpg,no smoking,0.38904730566013906
206,images/Cropped Image666.jpg,POLa ONEGA,0.41581094391835494
207,images/Cropped Image667.jpg,1VD 9674381,0.15268708943545142
208,images/Cropped Image667.jpg,SAfETY First,0.215174231216862
209,images/Cropped Image667.jpg,No svoking,0.2163053595514076
210,images/Cropped Image672.jpg,Msc,0.42672118769851786
211,images/Cropped Image672.jpg,GENEVA,0.9997683877724431
212,images/Cropped Image672.jpg,MS c,0.2607589066028595
213,images/Cropped Image673.jpg,SENROURNOVR,0.12492434629451867
214,images/Cropped Image676.jpg,BARKING,0.9998670793625543
