created_at,user_name,description,user_location,text,language,hashtags,media_url,place
2022-03-05 12:49:35+00:00,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","HMCS Halifax (FFH 330) Halifax-class frigate leaving Halifax, Nova Scotia - March 5, 2022 #hmcshalifax #ffh330 https://t.co/sg0YuEJzXJ",fi,"['hmcshalifax', 'ffh330']",['https://pbs.twimg.com/media/FNFk84JXEAYHm_Q.jpg'],
2022-03-05 12:17:57+00:00,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","German Navy Elbe-class tender FGS Main (A515) coming into Helsinki, Finland - March 4, 2022 #fgsmain #a515 https://t.co/YcmoJ7suf8",en,"['fgsmain', 'a515']",['https://pbs.twimg.com/media/FNFdtcgXwAA0Pyy.jpg'],
2022-03-04 13:30:05+00:00,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","Standing NATO Mine Countermeasures Group 1 (SNMCMG1) in Stavanger, Norway - March 4, 2022 #snmcmg1 https://t.co/meS0s5KcQe",en,['snmcmg1'],['https://pbs.twimg.com/media/FNAkoh7WUAYpI7j.jpg'],
2022-03-04 13:08:42+00:00,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","Helicopters Coming Into San Diego - March 3, 2022

* photo courtesy of @cjr1321 https://t.co/afsJ0RCvsE",en,,['https://pbs.twimg.com/media/FNAfvMRXoAUZTsK.jpg'],
2022-03-03 13:57:21+00:00,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","USS Bataan (LHD 5) Wasp-class amphibious assault ship coming into Norfolk, Virginia - March 3, 2022 #ussbataan #lhd5 https://t.co/vdmrhYg0YQ",en,"['ussbataan', 'lhd5']",['https://pbs.twimg.com/media/FM7hSGZXoAECgmD.jpg'],
2022-03-03 13:22:54+00:00,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","Standing NATO Mine Countermeasures Group 1 (SNMCMG1) in Stavanger, Norway - March 3, 2022 #snmcmg1 https://t.co/QNg6XjWdiy",en,['snmcmg1'],['https://pbs.twimg.com/media/FM7ZZdSXMAkytU-.jpg'],
2022-03-02 17:27:04+00:00,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","Boeing C17A Globemaster III coming into San Diego - March 1, 2022

* photos courtesy of @cjr1321 https://t.co/nqdi6X8JT5",en,,['https://pbs.twimg.com/media/FM3HsQPVcAE-5r6.jpg'],
2022-03-02 13:25:23+00:00,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","HMS Albion (L14) Albion-class amphibious transport dock in Tromso, Norway - March 2, 2022 #hmsalbion #l14 https://t.co/48gy0k14YF",en,"['hmsalbion', 'l14']",['https://pbs.twimg.com/media/FM2QX1XXsAgLhkz.jpg'],
2022-03-01 18:31:31+00:00,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","Chilean Navy OPV-80-class offshore patrol vessel in Punta Arenas, Chile - March 1, 2022 https://t.co/vTtJLBR6tS",en,,['https://pbs.twimg.com/media/FMyM2zvX0Aw9wzF.jpg'],
2022-03-01 15:20:29+00:00,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","USS Bataan (LHD 5) Wasp-class amphibious assault ship leaving Norfolk, Virginia - March 1, 2022 #ussbataan #lhd5 https://t.co/glsWvpAVc3",en,"['ussbataan', 'lhd5']",['https://pbs.twimg.com/media/FMxhIhOXsAkZ9tY.jpg'],
